idx,imu_Timestamp[sec],mag_Timestamp[sec],baro_Timestamp[sec],accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[deg/s],gyroY[deg/s],gyroZ[deg/s],magX[uT],magY[uT],magZ[uT],orX[deg],orY[deg],orZ[deg],press[hPa],rel_alt[m],moving, temp_left[C],temp_right[C],temp_imu[C],temp_barom[C],
66760,168.048054000,168.037866000,152.011841000,-0.072639115,-0.421035439,10.050559044,0.064337395,0.016122662,-0.055695206,0.125000000,-1.000000000,-2.937500000,-92.402183533,151.100204468,-0.369574696,1032.478271484,6.238396645,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66762,168.053094000,168.058026000,152.011841000,-0.077333368,-0.413761497,10.048484802,0.141211495,0.078584105,0.037508719,0.125000000,-1.000000000,-2.937500000,-92.401008606,151.100067139,-0.370487422,1032.478271484,6.238089561,0.000000000,31.929998398,32.680000305,32.659999847,32.989997864,
66764,168.058134000,168.058026000,152.011841000,-0.077368610,-0.416158080,10.053249359,0.200318456,-0.043557346,0.068950027,0.062500000,-1.000000000,-3.000000000,-92.400131226,151.100662231,-0.370521575,1032.478271484,6.237782478,0.000000000,31.929998398,32.680000305,32.659999847,32.989997864,
66766,168.063174000,168.058026000,152.011841000,-0.075211324,-0.424366415,10.063650131,0.039923098,-0.077380173,-0.148059383,0.062500000,-1.000000000,-3.000000000,-92.403747559,151.100357056,-0.376090854,1032.478271484,6.237474918,0.000000000,31.929998398,32.680000305,32.590000153,32.989997864,
66768,168.068214000,168.058026000,152.011841000,-0.075264178,-0.424372911,10.070796013,0.066991240,0.013783535,0.100265354,0.062500000,-1.000000000,-3.000000000,-92.403640747,151.100234985,-0.377698541,1032.478271484,6.237166882,0.000000000,31.929998398,32.680000305,32.590000153,32.989997864,
66770,168.073254000,168.078186000,152.011841000,-0.065597132,-0.429052323,10.063956261,0.146362737,-0.075880840,-0.023574371,0.062500000,-1.000000000,-3.000000000,-92.403312683,151.100204468,-0.377567887,1032.478271484,6.236858845,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66772,168.078294000,168.078186000,152.011841000,-0.053641140,-0.436224014,10.061574936,-0.003789581,0.106450312,0.129652664,0.125000000,-1.000000000,-3.000000000,-92.404090881,151.100677490,-0.376285493,1032.478271484,6.236551762,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66774,168.083334000,168.078186000,152.011841000,-0.058401193,-0.425827354,10.062470436,0.093600810,0.016081627,-0.086437963,0.125000000,-1.000000000,-3.000000000,-92.403564453,151.100662231,-0.376568973,1032.478271484,6.236244678,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66776,168.088374000,168.078186000,152.011841000,-0.063211776,-0.418656170,10.067234993,0.091013126,0.076666631,0.161405310,0.125000000,-1.000000000,-3.000000000,-92.403289795,151.101028442,-0.376440912,1032.478271484,6.235937595,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66778,168.093414000,168.098346000,152.011841000,-0.058484633,-0.417922556,10.067824364,0.020765269,-0.107628465,0.036967091,0.125000000,-1.000000000,-3.000000000,-92.402755737,151.100921631,-0.375821054,1032.478271484,6.235630512,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66780,168.098454000,168.098346000,152.011841000,-0.053638808,-0.410736054,10.058296204,0.139271617,0.045855224,0.007500121,0.125000000,-1.000000000,-3.000000000,-92.399642944,151.101196289,-0.374160439,1032.478271484,6.235323429,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66782,168.103494000,168.098346000,152.011841000,-0.058295477,-0.413853198,10.048177719,0.121355705,0.046398811,0.068729140,0.125000000,-1.000000000,-3.000000000,-92.397644043,151.101287842,-0.373059899,1032.478271484,6.235016346,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66783,168.106014000,168.098346000,152.011841000,-0.063088432,-0.418640941,10.050559044,0.181816220,0.016403873,-0.054493397,0.125000000,-1.000000000,-3.000000000,-92.400497437,151.101181030,-0.369721562,1032.478271484,6.234862804,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66785,168.111054000,168.098346000,152.011841000,-0.070269078,-0.430605948,10.052942276,0.062131669,0.046163488,0.037079096,0.125000000,-1.000000000,-3.000000000,-92.400421143,151.101089478,-0.369151235,1032.478271484,6.234555721,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66787,168.116094000,168.118506000,152.011841000,-0.063088432,-0.430602074,10.050559044,0.061565939,0.015434413,0.098955899,0.125000000,-1.000000000,-3.000000000,-92.400779724,151.101364136,-0.368042141,1032.478271484,6.234248638,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66789,168.121134000,168.118506000,152.011841000,-0.058277860,-0.428204328,10.045796394,-0.055965077,-0.076639205,0.004482592,0.125000000,-1.000000000,-3.000000000,-92.402534485,151.101440430,-0.366305560,1032.478271484,6.233941555,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66791,168.126174000,168.118506000,152.011841000,-0.055993572,-0.436220258,10.056810379,-0.061329335,0.076083399,-0.119080439,0.125000000,-1.000000000,-3.000000000,-92.405654907,151.101272583,-0.365750581,1032.478271484,6.233633995,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
